label,message
ham,Please send me the assignment by tonight.
ham,I'll be there in 5 minutes.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Please send me the assignment by tonight.
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,I'll be there in 5 minutes.
ham,"Hey, are we still meeting today?"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,"Hey, are we still meeting today?"
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
ham,I'll be there in 5 minutes.
ham,Please send me the assignment by tonight.
ham,Don't forget to bring the documents.
ham,"Hey, are we still meeting today?"
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Let's catch up over coffee tomorrow.
ham,Let's catch up over coffee tomorrow.
ham,"Hey, are we still meeting today?"
ham,Please send me the assignment by tonight.
ham,Please send me the assignment by tonight.
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
ham,Can you call me back when you are free?
ham,Let's catch up over coffee tomorrow.
ham,Can you call me back when you are free?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
ham,"Hey, are we still meeting today?"
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Can you call me back when you are free?
ham,I'll be there in 5 minutes.
ham,Let's catch up over coffee tomorrow.
ham,Please send me the assignment by tonight.
ham,I'll be there in 5 minutes.
ham,"Hey, are we still meeting today?"
ham,Can you call me back when you are free?
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,Let's catch up over coffee tomorrow.
ham,I'll be there in 5 minutes.
ham,Let's catch up over coffee tomorrow.
ham,Don't forget to bring the documents.
ham,I'll be there in 5 minutes.
ham,Can you call me back when you are free?
ham,Please send me the assignment by tonight.
ham,Can you call me back when you are free?
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Let's catch up over coffee tomorrow.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,I'll be there in 5 minutes.
ham,"Hey, are we still meeting today?"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Please send me the assignment by tonight.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Please send me the assignment by tonight.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,"Hey, are we still meeting today?"
ham,I'll be there in 5 minutes.
ham,I'll be there in 5 minutes.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Please send me the assignment by tonight.
ham,"Hey, are we still meeting today?"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Can you call me back when you are free?
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
ham,Please send me the assignment by tonight.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Don't forget to bring the documents.
ham,Please send me the assignment by tonight.
ham,Please send me the assignment by tonight.
ham,Can you call me back when you are free?
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Can you call me back when you are free?
ham,I'll be there in 5 minutes.
ham,Don't forget to bring the documents.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Let's catch up over coffee tomorrow.
ham,"Hey, are we still meeting today?"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Can you call me back when you are free?
ham,Don't forget to bring the documents.
ham,Can you call me back when you are free?
ham,"Hey, are we still meeting today?"
ham,I'll be there in 5 minutes.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Please send me the assignment by tonight.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Let's catch up over coffee tomorrow.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Please send me the assignment by tonight.
ham,I'll be there in 5 minutes.
ham,Can you call me back when you are free?
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Don't forget to bring the documents.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
ham,Please send me the assignment by tonight.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,"Hey, are we still meeting today?"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Let's catch up over coffee tomorrow.
ham,Please send me the assignment by tonight.
ham,Don't forget to bring the documents.
ham,Let's catch up over coffee tomorrow.
ham,Can you call me back when you are free?
ham,Don't forget to bring the documents.
ham,Please send me the assignment by tonight.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,I'll be there in 5 minutes.
ham,Let's catch up over coffee tomorrow.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
ham,Can you call me back when you are free?
ham,Let's catch up over coffee tomorrow.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Can you call me back when you are free?
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Please send me the assignment by tonight.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,Please send me the assignment by tonight.
ham,"Hey, are we still meeting today?"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,"Hey, are we still meeting today?"
ham,"Hey, are we still meeting today?"
ham,Can you call me back when you are free?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
ham,Please send me the assignment by tonight.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Can you call me back when you are free?
ham,Don't forget to bring the documents.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,Please send me the assignment by tonight.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,"Hey, are we still meeting today?"
ham,Please send me the assignment by tonight.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Please send me the assignment by tonight.
ham,Let's catch up over coffee tomorrow.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Please send me the assignment by tonight.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
ham,Let's catch up over coffee tomorrow.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
ham,"Hey, are we still meeting today?"
ham,Let's catch up over coffee tomorrow.
ham,Can you call me back when you are free?
ham,Please send me the assignment by tonight.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,I'll be there in 5 minutes.
ham,Please send me the assignment by tonight.
ham,Let's catch up over coffee tomorrow.
ham,Let's catch up over coffee tomorrow.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,I'll be there in 5 minutes.
ham,"Hey, are we still meeting today?"
ham,Please send me the assignment by tonight.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Don't forget to bring the documents.
ham,Can you call me back when you are free?
ham,"Hey, are we still meeting today?"
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,I'll be there in 5 minutes.
ham,Please send me the assignment by tonight.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,I'll be there in 5 minutes.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,Let's catch up over coffee tomorrow.
ham,Can you call me back when you are free?
ham,Please send me the assignment by tonight.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Let's catch up over coffee tomorrow.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
spam,You have been selected for a FREE cruise to Bahamas! Call now.
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
ham,"Hey, are we still meeting today?"
ham,Don't forget to bring the documents.
spam,You have been selected for a FREE cruise to Bahamas! Call now.
spam,Congratulations! You've won a $1000 Walmart gift card. Reply YES to claim.
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question(std txt rate).
ham,Don't forget to bring the documents.
ham,Can you call me back when you are free?
